id,years_active,years_plus,gdppc,colony_bool,prim_meth,sec_defect,regime_support,repression,camp_support,camp_size,sdirect,indiscrim,cold_war,pi_education,pi_soc_welfare,pi_trad_media,pi_new_media,pi_police,pi_armed_wing,pi_courts,pi_pol_party,any_pi,in_media,failure,success
33,4,5,13080,1,0,0,1,3,0,NA,1,1,1,1,0,1,1,1,0,1,0,1,2,0,0
33,5,6,12125,1,0,0,1,3,0,2,1,1,1,1,0,1,1,1,0,1,0,1,2,0,0
33,6,7,11550,1,0,0,1,3,0,5,1,1,1,1,0,1,1,1,0,1,0,1,2,0,0
33,7,8,11775,1,0,NA,1,3,0,5,0,0,1,1,0,1,1,0,0,0,0,1,2,0,1
34,1,2,11615,1,1,0,1,0,1,NA,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
34,2,3,12078,1,1,0,1,0,1,NA,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
34,3,4,12116,1,1,0,1,0,1,NA,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
34,4,5,12231,1,1,0,1,3,1,NA,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
34,5,6,12848,1,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
34,6,7,13232,1,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0
35,1,2,7319.1365,0,1,0,0,3,1,2,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0
35,2,3,5638.9979,0,1,NA,1,3,1,2,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0
35,3,4,4315.3567,0,1,1,1,3,1,2,0,0,0,1,0,1,1,0,0,1,0,1,2,0,0
35,4,5,3453.3638,0,1,1,1,3,1,2,0,0,0,1,0,1,1,0,0,1,0,1,2,1,0
37,1,2,960,1,0,0,0,3,0,2,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0
37,2,3,964,1,0,0,0,3,0,2,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0
37,3,4,966,1,0,0,0,3,0,NA,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0
37,4,5,1006,1,0,1,0,3,0,3,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1
38,1,2,11198,0,0,0,1,3,0,1,0,1,1,0,0,1,0,0,0,0,0,1,2,0,0
38,2,3,11893,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0
38,3,4,11467,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0
38,4,5,11170.7611,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,1,2,0,1
39,1,2,13792.5536,0,0,0,1,3,1,2,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0
39,2,3,14856.9558,0,0,0,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,3,4,16223.9968,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
39,4,5,16088.725,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,5,6,17172.4603,0,0,0,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
39,6,7,17918,0,0,0,1,3,1,2,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0
39,7,8,18251,0,0,0,1,3,1,1,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0
39,8,9,18464,0,0,0,1,3,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0
40,1,2,1484,1,1,1,1,3,1,3,0,0,1,0,0,0,0,0,0,0,1,1,2,0,1
41,1,2,1715,1,0,1,0,3,0,2,0,0,1,0,0,1,0,0,0,0,1,1,2,0,0
41,2,3,1811,1,0,1,0,3,0,NA,0,0,1,0,0,1,0,0,0,0,1,1,2,0,1
42,1,2,1160,1,1,1,1,3,0,2,0,1,1,1,0,1,1,1,0,1,1,1,2,0,0
42,2,3,1114,1,1,0,1,3,1,2,0,1,1,1,0,1,1,1,0,1,1,1,2,0,0
42,3,4,1372,1,1,0,1,3,1,2,0,1,1,1,0,1,1,1,0,1,1,1,2,0,0
42,4,5,1744,1,1,0,1,3,1,2,0,1,1,1,0,1,1,1,0,1,1,1,2,1,0
43,1,2,4219,1,0,0,0,3,0,2,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0
43,2,3,4289,1,0,0,0,3,1,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
43,3,4,4328,1,0,0,0,3,1,2,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
43,4,5,4227,1,0,0,0,3,NA,5,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0
43,5,6,4100,1,0,0,0,3,0,3,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0
43,6,7,4060,1,0,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0
43,7,8,3816,1,0,0,0,0,NA,5,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1
44,1,2,3237,1,1,1,1,3,0,2,0,0,1,0,0,1,1,0,0,0,0,1,NA,0,1
45,1,2,NA,1,0,0,NA,3,NA,0,0,NA,1,0,0,0,0,0,0,1,0,1,0,0,0
45,2,3,NA,1,1,NA,1,3,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
45,3,4,NA,1,1,NA,NA,3,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
45,4,5,NA,1,1,NA,NA,3,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0
45,5,6,NA,1,1,NA,NA,3,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
45,6,7,NA,1,1,NA,NA,3,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
45,7,8,NA,1,1,NA,NA,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
45,8,9,NA,1,1,NA,NA,3,NA,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0
45,9,10,NA,1,1,NA,NA,3,NA,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
45,10,11,NA,1,1,NA,NA,3,NA,1,0,NA,0,0,0,0,0,0,0,1,0,1,1,0,0
45,11,12,NA,1,1,NA,NA,0,NA,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
46,1,2,1280,1,1,0,0,3,0,NA,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0
47,1,2,9908,0,0,NA,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
47,2,3,8922,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
49,1,2,885.8864,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
49,2,3,917.48,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0
50,1,2,1511.7337,0,1,NA,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
50,2,3,1558.3988,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
50,3,4,1570.6635,0,1,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
50,4,5,1609.1803,0,1,NA,0,3,0,2,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0
50,5,6,1676.7456,0,1,0,1,3,0,2,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0
50,6,7,1738.3142,0,1,0,1,3,0,2,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0
50,7,8,1709.7787,0,1,NA,1,3,0,2,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0
50,8,9,1747.7766,0,1,NA,1,3,0,2,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0
50,9,10,1802.1438,0,1,NA,1,3,0,2,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0
50,10,11,1836.3057,0,1,NA,1,3,0,2,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0
50,11,12,1884.1872,0,0,NA,0,3,1,3,0,1,0,1,1,1,1,1,1,1,1,1,2,0,1
51,1,2,1202,1,0,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,1,1,2,0,0
51,2,3,1229,1,1,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0
51,3,4,1256,1,1,0,0,3,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0
51,4,5,1283,1,1,0,0,3,0,1,0,1,1,0,0,1,0,0,0,0,1,1,2,0,0
51,5,6,1310,1,1,0,0,3,0,1,0,1,1,0,0,1,0,0,0,0,1,1,2,0,1
52,1,2,11258,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,1,1,0,1,2,0,0
52,2,3,11234,0,0,1,0,3,0,5,0,1,1,0,0,0,0,0,1,1,0,1,2,0,1
53,1,2,9933.0819,1,0,1,1,1,1,5,0,0,0,0,1,0,0,0,0,0,1,1,2,0,1
54,1,2,713.8271,1,1,1,NA,3,1,2,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
54,2,3,700.7076,1,1,1,1,3,NA,2,NA,1,0,0,0,0,0,0,0,0,1,1,NA,0,0
54,3,4,694.105,1,1,1,1,3,NA,2,NA,0,0,0,0,0,0,0,0,0,1,1,NA,0,0
54,4,5,719.1531,1,1,1,1,3,NA,2,NA,1,0,0,0,0,0,0,0,0,1,1,2,0,0
54,5,6,753.8608,1,1,1,NA,3,NA,2,NA,0,0,0,0,0,0,0,0,0,1,1,2,1,0
55,1,2,15910.1407,0,1,NA,0,3,0,2,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0
55,2,3,15474.0534,0,1,NA,0,3,1,2,0,1,0,0,0,0,0,0,0,1,1,1,2,0,0
55,3,4,15266.3226,0,1,NA,0,3,1,2,0,1,0,0,0,0,0,1,0,1,1,1,2,0,0
55,4,5,15845.180199999999,0,1,NA,0,0,1,2,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0
55,5,6,15533.0189,0,1,NA,0,0,1,2,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
55,6,7,16759.7051,0,1,NA,0,3,1,2,0,1,0,0,0,0,0,1,0,1,1,1,2,0,0
55,7,8,18746.4004,0,1,NA,0,3,NA,2,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0
55,8,9,20241.3533,0,1,NA,0,3,0,2,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0
55,9,10,21746.981399999997,0,1,NA,NA,3,NA,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0
55,10,11,23912.1812,0,1,NA,0,3,NA,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0
55,11,12,26309.9199,0,1,NA,NA,3,0,1,0,0,0,0,1,1,0,1,0,1,1,1,2,0,0
55,12,13,28669.3812,0,1,NA,NA,3,NA,1,0,1,0,0,1,1,0,1,0,1,1,1,2,0,0
55,13,14,31758.2584,0,1,NA,NA,3,NA,1,0,1,0,0,1,1,0,1,0,1,1,1,2,0,0
55,14,15,35234.0475,0,1,0,0,3,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0
56,1,2,3194,1,1,1,1,3,1,1,0,0,1,0,0,1,0,0,0,1,0,1,2,0,1
57,1,2,3414,1,1,1,1,0,1,1,0,0,1,NA,NA,NA,NA,NA,0,NA,NA,0,2,0,0
57,2,3,3480,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,2,0,0
57,3,4,3360,1,1,0,1,3,1,1,1,0,1,0,0,1,0,0,0,1,0,1,2,0,0
57,4,5,3437,1,1,0,1,3,1,1,1,0,1,0,0,1,0,0,0,1,0,1,2,0,0
57,5,6,3308,1,1,0,1,3,1,2,1,0,1,0,0,1,0,0,0,1,0,1,2,0,0
57,6,7,3107,1,1,0,1,3,1,2,1,0,1,0,0,1,0,0,0,1,0,1,2,0,0
57,7,8,3011,1,1,0,1,3,1,2,1,0,1,0,0,1,0,0,0,1,0,1,2,0,0
57,8,9,2922,1,1,0,1,3,1,2,1,0,1,0,0,1,0,0,0,1,0,1,2,0,0
57,9,10,2498,1,1,0,1,3,1,1,1,1,1,0,0,1,0,0,0,1,0,1,2,0,0
57,10,11,2393,1,1,0,1,3,1,2,1,NA,1,0,0,1,0,0,0,1,0,1,2,0,0
57,11,12,2291,1,1,0,1,3,1,2,1,NA,1,0,0,0,0,0,0,1,0,1,2,0,1
58,1,2,NA,1,0,0,0,3,0,NA,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0
58,2,3,NA,1,0,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0
58,3,4,1788,1,0,0,0,1,0,NA,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0
58,4,5,1808,1,0,0,0,0,0,NA,0,0,1,1,0,1,0,0,0,0,1,1,NA,1,0
60,1,2,12803,0,0,0,0,1,0,2,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0
60,2,3,13814,0,0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0
61,1,2,16725.9667,0,1,1,1,3,1,2,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0
62,1,2,2740,1,1,0,1,3,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
62,2,3,2922,1,1,0,1,3,NA,1,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0
62,3,4,2922,1,1,1,0,3,0,1,1,0,1,0,0,1,0,0,0,0,0,1,2,0,0
62,4,5,3006,1,1,0,NA,3,1,1,0,0,1,1,0,1,1,1,0,0,0,1,2,0,1
63,1,2,1261,0,1,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
63,2,3,1237,0,1,0,0,1,0,5,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0
63,3,4,1178,0,1,1,0,1,0,5,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0
64,1,2,9507,0,0,0,0,2,NA,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
64,2,3,9919,0,0,0,1,3,1,5,0,0,1,0,0,1,0,0,0,0,1,1,2,1,0
65,1,2,1159,1,1,1,1,3,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
65,2,3,1280,1,1,1,1,3,0,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
65,3,4,1356,1,1,1,1,3,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
65,4,5,1401,1,1,1,1,3,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
65,5,6,1451,1,1,0,1,3,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
65,6,7,1517,1,1,0,1,3,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
65,7,8,1537,1,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
65,8,9,1533,1,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
65,9,10,1613,1,1,0,0,3,0,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
65,10,11,1530,1,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
